ID,Finca,Derechos,Plano_cat,Año,Area_re,Provincia,Canton,Distrito,condicion,longiud,latitud
45,2-00151057,1,A-2318897-2021,2021,47677,Alajuela,Atenas,Escobal,desestimado,-84.16134,9.94674
46,2-00345576,2,A-0887336-2003,2003,1233.76,Alajuela,Atenas,Escobal,en proceso,-84.19128,9.94383
47,2-00267696,2,A-0957434-1991,1991,10051.74,Alajuela,Atenas,Escobal,en proceso,-84.19013,9.94395
48,2-00035364,1,A-0004954-1975,1975,857085.14,Alajuela,Atenas,Jesus,en proceso,-84.19041,9.94321
49,2-00178702,9,A-1101488-2006,2006,241723.06,Alajuela,Atenas,Escobal,en proceso,-84.19084,9.9438
50,2-00449912,2,A-1485463-2011,2011,178923,Alajuela,Orotina,Hacienda Vieja,en proceso,-84.23403,9.94873
51,2-00155453,1,A-1485463-2012,2012,1687806.4,Alajuela,Orotina,Orotina ,sin iniciar,-84.15213,9.94728
52,2-00020309,3,A-0487705-1982,1982,17930.93,Alajuela,Orotina,Orotina ,finalizado,-84.16129,9.94675
53,2-00356664,1,A-0049202-1992,1992,13402.97,Alajuela,Orotina,Orotina ,sin iniciar,-84.15201,9.94715
54,2-00514539,1,A-1701652-2013,2013,370271,Alajuela,Atenas,Escobal,sin iniciar,-84.42366,9.93653
55,2-00167748,1,A-1759754-2014,2014,133818,Alajuela,Atenas,Escobal,sin iniciar,-84.26606,9.96408
56,1-00548155,1,SJ-0930007-2004,2004,4792.52,San Jose,Escazu,Pozos ,sin iniciar,-84.23407,9.94875
57,2-00533751,1,A-2201342-2020,2020,17937,Alajuela,Atenas,Escobal,sin iniciar,-84.23369,9.94936
58,6-00174771,1,P-1141624-2007,2007,381086.83,Puntarenas,Esparza,CALDERA,sin iniciar,-84.22636,9.94196
59,6-00149011,1,P-1019012-2005,2005,68651.55,Puntarenas,Esparza,CALDERA,sin iniciar,-84.24904,9.95898
60,6-00096725,1,P-0153082-1993,1993,21179.67,Puntarenas,Esparza,CALDERA,sin iniciar,-84.24987,9.95965
61,1-00092800,1,SJ-1397858-2010,2010,45605,San Jose,Santa Ana,Pozos,sin iniciar,-84.22414,9.9386
62,1-00722591,1,SJ-2267293-2021,2021,28657,San Jose,Santa Ana,Brasil,sin iniciar,-84.22584,9.94154
63,1-00662255,6,SJ-1801239-2015,2015,69637,San Jose,Santa Ana,Brasil,sin iniciar,-84.2315,9.94589
64,1-00074453,1,SJ-1801239-2016,2016,37939.99,San Jose,Santa Ana,Brasil,desestimado,-84.27321,9.9645
